S,2000,Vol;0.2
S,2000,Forecast;0;-5;-2500
S,2000,Risk;-200;200;-4;0;-2000;0
S,2000,Orders
T,2000,ILL1~RAND-E,100000,100.0,100000,100.01
T,2000,ILL1~RAND-20140527-80C,100000,18.76,100000,20.0
T,2000,ILL1~RAND-20140527-90C,100000,10.27,100000,10.96
T,2000,ILL1~RAND-20140527-100C,100000,4.1,100000,4.38
T,2000,ILL1~RAND-20140527-110C,100000,1.08,100000,1.17
T,2000,ILL1~RAND-20140527-120C,100000,0.18,100000,0.21
T,2000,ILL1~RAND-20140627-80C,100000,20.16,100000,21.4
T,2000,ILL1~RAND-20140627-90C,100000,11.0,100000,11.71
T,2000,ILL1~RAND-20140627-100C,100000,4.75,100000,5.06
T,2000,ILL1~RAND-20140627-110C,100000,1.51,100000,1.63
T,2000,ILL1~RAND-20140627-120C,100000,0.37,100000,0.41
T,2000,ILL2~RAND-E,100000,100.0,100000,100.01
T,2000,ILL2~RAND-20140527-80C,100000,18.76,100000,20.0
T,2000,ILL2~RAND-20140527-90C,100000,10.27,100000,10.96
T,2000,ILL2~RAND-20140527-100C,100000,4.1,100000,4.38
T,2000,ILL2~RAND-20140527-110C,100000,1.08,100000,1.17
T,2000,ILL2~RAND-20140527-120C,100000,0.18,100000,0.21
T,2000,ILL2~RAND-20140627-80C,100000,20.16,100000,21.4
T,2000,ILL2~RAND-20140627-90C,100000,11.0,100000,11.71
T,2000,ILL2~RAND-20140627-100C,100000,4.75,100000,5.06
T,2000,ILL2~RAND-20140627-110C,100000,1.51,100000,1.63
T,2000,ILL2~RAND-20140627-120C,100000,0.37,100000,0.41
T,2000,CMU1~RAND-E,100000,100.0,100000,100.01
T,2000,CMU1~RAND-20140527-80C,100000,18.76,100000,20.0
T,2000,CMU1~RAND-20140527-90C,100000,10.27,100000,10.96
T,2000,CMU1~RAND-20140527-100C,100000,4.1,100000,4.38
T,2000,CMU1~RAND-20140527-110C,100000,1.08,100000,1.17
T,2000,CMU1~RAND-20140527-120C,100000,0.18,100000,0.21
T,2000,CMU1~RAND-20140627-80C,100000,20.16,100000,21.4
T,2000,CMU1~RAND-20140627-90C,100000,11.0,100000,11.71
T,2000,CMU1~RAND-20140627-100C,100000,4.75,100000,5.06
T,2000,CMU1~RAND-20140627-110C,100000,1.51,100000,1.63
