ILL1~MATH-E,0.01
ILL1~ARB-E,0.01
ILL1~RAND-E,0.01
ILL1~RAND-20140527-100C,0.01
ILL1~RAND-20140527-110C,0.01
ILL1~RAND-20140527-120C,0.01
ILL1~RAND-20140527-130C,0.01
ILL1~RAND-20140527-140C,0.01
ILL1~RAND-20140627-100C,0.01
ILL1~RAND-20140627-110C,0.01
ILL1~RAND-20140627-120C,0.01
ILL1~RAND-20140627-130C,0.01
ILL1~RAND-20140627-140C,0.01
ILL2~MATH-E,0.01
ILL2~ARB-E,0.01
ILL2~RAND-E,0.01
ILL2~RAND-20140527-100C,0.01
ILL2~RAND-20140527-110C,0.01
ILL2~RAND-20140527-120C,0.01
ILL2~RAND-20140527-130C,0.01
ILL2~RAND-20140527-140C,0.01
ILL2~RAND-20140627-100C,0.01
ILL2~RAND-20140627-110C,0.01
ILL2~RAND-20140627-120C,0.01
ILL2~RAND-20140627-130C,0.01
ILL2~RAND-20140627-140C,0.01
CMU1~MATH-E,0.01
CMU1~ARB-E,0.01
CMU1~RAND-E,0.01
CMU1~RAND-20140527-100C,0.01
CMU1~RAND-20140527-110C,0.01
CMU1~RAND-20140527-120C,0.01
CMU1~RAND-20140527-130C,0.01
CMU1~RAND-20140527-140C,0.01
CMU1~RAND-20140627-100C,0.01
CMU1~RAND-20140627-110C,0.01
CMU1~RAND-20140627-120C,0.01
CMU1~RAND-20140627-130C,0.01
CMU1~RAND-20140627-140C,0.01
CMU2~MATH-E,0.01
CMU2~ARB-E,0.01
CMU2~RAND-E,0.01
CMU2~RAND-20140527-100C,0.01
CMU2~RAND-20140527-110C,0.01
CMU2~RAND-20140527-120C,0.01
CMU2~RAND-20140527-130C,0.01
CMU2~RAND-20140527-140C,0.01
CMU2~RAND-20140627-100C,0.01
CMU2~RAND-20140627-110C,0.01
CMU2~RAND-20140627-120C,0.01
CMU2~RAND-20140627-130C,0.01
CMU2~RAND-20140627-140C,0.01
CMU3~MATH-E,0.01
CMU3~ARB-E,0.01
CMU3~RAND-E,0.01
CMU3~RAND-20140527-100C,0.01
CMU3~RAND-20140527-110C,0.01
CMU3~RAND-20140527-120C,0.01
CMU3~RAND-20140527-130C,0.01
CMU3~RAND-20140527-140C,0.01
CMU3~RAND-20140627-100C,0.01
CMU3~RAND-20140627-110C,0.01
CMU3~RAND-20140627-120C,0.01
CMU3~RAND-20140627-130C,0.01
CMU3~RAND-20140627-140C,0.01
BAR1~MATH-E,0.01
BAR1~ARB-E,0.01
BAR1~RAND-E,0.01
BAR1~RAND-20140527-100C,0.01
BAR1~RAND-20140527-110C,0.01
BAR1~RAND-20140527-120C,0.01
BAR1~RAND-20140527-130C,0.01
BAR1~RAND-20140527-140C,0.01
BAR1~RAND-20140627-100C,0.01
BAR1~RAND-20140627-110C,0.01
BAR1~RAND-20140627-120C,0.01
BAR1~RAND-20140627-130C,0.01
BAR1~RAND-20140627-140C,0.01
WAT1~MATH-E,0.01
WAT1~ARB-E,0.01
WAT1~RAND-E,0.01
WAT1~RAND-20140527-100C,0.01
WAT1~RAND-20140527-110C,0.01
WAT1~RAND-20140527-120C,0.01
WAT1~RAND-20140527-130C,0.01
WAT1~RAND-20140527-140C,0.01
WAT1~RAND-20140627-100C,0.01
WAT1~RAND-20140627-110C,0.01
WAT1~RAND-20140627-120C,0.01
WAT1~RAND-20140627-130C,0.01
WAT1~RAND-20140627-140C,0.01
RHU1~MATH-E,0.01
RHU1~ARB-E,0.01
RHU1~RAND-E,0.01
RHU1~RAND-20140527-100C,0.01
RHU1~RAND-20140527-110C,0.01
RHU1~RAND-20140527-120C,0.01
RHU1~RAND-20140527-130C,0.01
RHU1~RAND-20140527-140C,0.01
RHU1~RAND-20140627-100C,0.01
RHU1~RAND-20140627-110C,0.01
RHU1~RAND-20140627-120C,0.01
RHU1~RAND-20140627-130C,0.01
RHU1~RAND-20140627-140C,0.01
MIC1~MATH-E,0.01
MIC1~ARB-E,0.01
MIC1~RAND-E,0.01
MIC1~RAND-20140527-100C,0.01
MIC1~RAND-20140527-110C,0.01
MIC1~RAND-20140527-120C,0.01
MIC1~RAND-20140527-130C,0.01
MIC1~RAND-20140527-140C,0.01
MIC1~RAND-20140627-100C,0.01
MIC1~RAND-20140627-110C,0.01
MIC1~RAND-20140627-120C,0.01
MIC1~RAND-20140627-130C,0.01
MIC1~RAND-20140627-140C,0.01
MIC2~MATH-E,0.01
MIC2~ARB-E,0.01
MIC2~RAND-E,0.01
MIC2~RAND-20140527-100C,0.01
MIC2~RAND-20140527-110C,0.01
MIC2~RAND-20140527-120C,0.01
MIC2~RAND-20140527-130C,0.01
MIC2~RAND-20140527-140C,0.01
MIC2~RAND-20140627-100C,0.01
MIC2~RAND-20140627-110C,0.01
MIC2~RAND-20140627-120C,0.01
MIC2~RAND-20140627-130C,0.01
MIC2~RAND-20140627-140C,0.01
MIT1~MATH-E,0.01
MIT1~ARB-E,0.01
MIT1~RAND-E,0.01
MIT1~RAND-20140527-100C,0.01
MIT1~RAND-20140527-110C,0.01
MIT1~RAND-20140527-120C,0.01
MIT1~RAND-20140527-130C,0.01
MIT1~RAND-20140527-140C,0.01
MIT1~RAND-20140627-100C,0.01
MIT1~RAND-20140627-110C,0.01
MIT1~RAND-20140627-120C,0.01
MIT1~RAND-20140627-130C,0.01
MIT1~RAND-20140627-140C,0.01
MIT2~MATH-E,0.01
MIT2~ARB-E,0.01
MIT2~RAND-E,0.01
MIT2~RAND-20140527-100C,0.01
MIT2~RAND-20140527-110C,0.01
MIT2~RAND-20140527-120C,0.01
MIT2~RAND-20140527-130C,0.01
MIT2~RAND-20140527-140C,0.01
MIT2~RAND-20140627-100C,0.01
MIT2~RAND-20140627-110C,0.01
MIT2~RAND-20140627-120C,0.01
MIT2~RAND-20140627-130C,0.01
MIT2~RAND-20140627-140C,0.01
MIT3~MATH-E,0.01
MIT3~ARB-E,0.01
MIT3~RAND-E,0.01
MIT3~RAND-20140527-100C,0.01
MIT3~RAND-20140527-110C,0.01
MIT3~RAND-20140527-120C,0.01
MIT3~RAND-20140527-130C,0.01
MIT3~RAND-20140527-140C,0.01
MIT3~RAND-20140627-100C,0.01
MIT3~RAND-20140627-110C,0.01
MIT3~RAND-20140627-120C,0.01
MIT3~RAND-20140627-130C,0.01
MIT3~RAND-20140627-140C,0.01
DAR1~MATH-E,0.01
DAR1~ARB-E,0.01
DAR1~RAND-E,0.01
DAR1~RAND-20140527-100C,0.01
DAR1~RAND-20140527-110C,0.01
